comp,func,id
blade,export solid,591
blade,guide solid,591
blade,import solid,591
blade,secure solid,591
blade,separate solid,591
clamp,couple solid,591
clamp,export solid,591
clamp,import solid,591
clamp,position solid,591
clamp,separate solid,591
electric conductor,couple solid,591
electric cord,couple solid,591
electric cord,export electrical,591
electric cord,import electrical,591
electric cord,position solid,591
electric cord,transfer electrical,591
electric motor,convert electrical,591
electric motor,couple solid,591
electric motor,guide solid,591
electric motor,transfer electrical,591
electric switch,actuate control,591
electric switch,actuate electrical,591
electric switch,couple solid,591
electric switch,guide solid,591
electric switch,position solid,591
gear,change mechanical,591
gear,change mechanical,591
gear,change mechanical,591
gear,guide solid,591
gear,guide solid,591
gear,guide solid,591
gear,import solid,591
gear,position solid,591
gear,position solid,591
gear,secure solid,591
gear,secure solid,591
gear,secure solid,591
gear,secure solid,591
gear,transfer mechanical,591
gear,transfer mechanical,591
gear,transfer mechanical,591
gear,transfer mechanical,591
housing,couple solid,591
housing,couple solid,591
housing,distribute mechanical,591
housing,export mechanical,591
housing,guide solid,591
housing,position solid,591
housing,position solid,591
housing,stabilize mechanical,591
lever,convert human energy,591
lever,guide solid,591
lever,import human energy,591
lever,import human material,591
lever,import solid,591
magnet,guide solid,591
magnet,import solid,591
rivet,couple solid,591
screw,couple solid,591
screw,couple solid,591
screw,couple solid,591
screw,couple solid,591
shaft,guide solid,591
shaft,secure solid,591
shaft,transfer mechanical,591
solder,couple solid,591
solder,couple solid,591
solder,couple solid,591
support,couple solid,591
support,position solid,591
unclassified,couple solid,591
unclassified,export solid,591
unclassified,import solid,591
unclassified,position solid,591
unclassified,separate solid,591
blade,export mechanical,592
blade,guide mechanical,592
cover,stop solid,592
cover,stop solid,592
electric switch,convert human energy,592
electric switch,import human energy,592
gear,change mechanical,592
gear,guide mechanical,592
gear,guide mechanical,592
gear,transfer mechanical,592
housing,export human material,592
housing,export human material,592
housing,guide human material,592
housing,guide human material,592
housing,guide solid,592
housing,guide solid,592
housing,import human material,592
housing,import human material,592
housing,position solid,592
housing,position solid,592
housing,position solid,592
insert,guide solid,592
link,guide mechanical,592
link,import mechanical,592
link,import solid,592
link,secure solid,592
link,secure solid,592
link,transfer mechanical,592
positioner,guide solid,592
positioner,guide solid,592
screw,couple solid,592
screw,couple solid,592
screw,couple solid,592
screw,couple solid,592
screw,couple solid,592
screw,position solid,592
spring,guide solid,592
spring,store mechanical,592
spring,supply mechanical,592
stop,secure solid,592
stop,secure solid,592
stop,secure solid,592
support,export human energy,592
support,export mechanical,592
support,guide human energy,592
support,guide mechanical,592
support,import human energy,592
support,position solid,592
support,position solid,592
support,secure solid,592
support,stop solid,592
cover,guide solid,593
cover,position solid,593
cover,position solid,593
cover,position solid,593
gear,change mechanical,593
gear,change mechanical,593
gear,change mechanical,593
gear,guide solid,593
gear,guide solid,593
gear,guide solid,593
gear,guide solid,593
gear,transfer mechanical,593
gear,transfer mechanical,593
gear,transfer mechanical,593
guiders,guide solid,593
guiders,position solid,593
guiders,position solid,593
guiders,position solid,593
housing,position solid,593
housing,position solid,593
housing,position solid,593
housing,secure solid,593
latch release,secure solid,593
latch release,transfer mechanical,593
positioner,guide solid,593
retaining clip,position solid,593
screw,couple solid,593
screw,couple solid,593
screw,couple solid,593
screw,couple solid,593
shaft,change mechanical,593
shaft,export solid,593
shaft,guide solid,593
shaft,import solid,593
shaft,secure solid,593
shaft,transfer mechanical,593
shaft,transfer mechanical,593
shaft,transfer mechanical,593
spring,couple solid,593
spring,position solid,593
stop,position solid,593
support,secure solid,593
washer,guide solid,593
washer,guide solid,593
washer,position solid,593
battery,store electrical,594
battery,supply electrical,594
cover,position solid,594
diode,guide electrical,594
electric cord,change electrical,594
electric cord,export electrical,594
electric cord,import electrical,594
electric cord,transfer electrical,594
electric motor,convert electrical,594
electric motor,transfer electrical,594
electric switch,actuate control,594
electric switch,actuate electrical,594
electric switch,convert human energy,594
electric switch,export human material,594
electric switch,guide human material,594
electric switch,import human energy,594
electric switch,import human material,594
electric wire,guide solid,594
electric wire,guide solid,594
electric wire,position solid,594
electric wire,position solid,594
electric wire,secure solid,594
electric wire,secure solid,594
electric wire,secure solid,594
electric wire,secure solid,594
electric wire,secure solid,594
electric wire,secure solid,594
electric wire,transfer electrical,594
electric wire,transfer electrical,594
electric wire,transfer electrical,594
electric wire,transfer electrical,594
electric wire,transfer electrical,594
electric wire,transfer electrical,594
fan,convert mechanical,594
fan,secure solid,594
fastener,couple solid,594
guiders,guide mixture,594
guiders,import mixture,594
guiders,secure solid,594
housing,distribute mechanical,594
housing,export human material,594
housing,export human material,594
housing,export mechanical,594
housing,guide human material,594
housing,guide human material,594
housing,guide solid,594
housing,guide solid,594
housing,import human material,594
housing,import human material,594
housing,position solid,594
housing,position solid,594
housing,secure solid,594
housing,secure solid,594
housing,stabilize mechanical,594
latch release,export human material,594
latch release,guide human material,594
latch release,import human material,594
