comp,func,id
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
wheel,convert control,169
pulley,convert human energy,169
ic motor,convert liquid-gas,169
blade,couple solid,169
nut-bolt,couple solid,169
mixer,couple solid,169
clamp,couple solid,169
guiders,couple solid,169
housing,couple solid,169
ic motor,couple solid,169
tube,couple solid,169
container,couple solid,169
handle,couple solid,169
hinge,couple solid,169
pulley,couple solid,169
wheel,export human energy,169
guiders,export solid,169
guiders,export visual,169
wheel,export visual,169
material filter,extract solid-gas,169
guiders,guide solid,169
housing,guide solid,169
handle,guide solid,169
lever,guide solid,169
wheel,guide solid,169
container,import chemical,169
handle,import control,169
lever,import control,169
handle,import human energy,169
container,import liquid,169
blade,import solid,169
material filter,import solid-gas,169
mixer,mix chemical,169
mixer,mix gas,169
mixer,mix liquid,169
blade,remove solid,169
material filter,secure solid,169
mixer,secure solid,169
ic motor,secure solid,169
lever,secure solid,169
link,secure solid,169
assembly,separate chemical,169
assembly,separate chemical,169
assembly,separate chemical,169
assembly,separate human energy,169
assembly,separate human material,169
assembly,separate solid-liquid-gas,169
container,store chemical,169
container,store liquid,169
tube,transfer chemical,169
housing,transfer control,169
link,transfer control,169
housing,transfer human energy,169
blade,transfer solid,169
electric switch,actuate control,319
electric switch,actuate electrical,319
electric wire,actuate electrical,319
distributor,change electrical,319
belt,change mechanical,319
gear,change mechanical,319
ic motor,convert chemical,319
gear,convert control,319
pneumatic pump,convert control,319
ic motor,convert electrical,319
assembly,convert human energy,319
ic motor,convert mechanical,319
ic motor,convert mechanical,319
em sensor,couple solid,319
container,couple solid,319
light source,couple solid,319
guiders,couple solid,319
securer,couple solid,319
fan,couple solid,319
mixer,couple solid,319
converter,couple solid,319
container,couple solid,319
tube,couple solid,319
cover,couple solid,319
housing,couple solid,319
mechanical transformer,couple solid,319
light source,couple solid,319
hinge,couple solid,319
latch release,couple solid,319
guiders,couple solid,319
tube,couple solid,319
fan,couple solid,319
cover,couple solid,319
cover,couple solid,319
nozzle,couple solid,319
light source,couple solid,319
signaler,couple solid,319
visual indicator,couple solid,319
tube,couple solid,319
regulator,couple solid,319
pneumatic pump,couple solid,319
container,couple solid,319
seal,couple solid,319
latch release,couple solid,319
coupler,couple solid,319
cover,couple solid,319
guiders,couple solid,319
support,couple solid,319
light source,couple solid,319
cover,couple solid,319
thermal insulator,couple solid,319
hinge,couple solid,319
tube,couple solid,319
support,couple solid,319
guiders,couple solid,319
latch release,couple solid,319
latch release,couple solid,319
housing,couple solid,319
light source,couple solid,319
hydraulic pump,couple solid,319
needle,couple solid,319
acoustic insulator,couple solid,319
cover,couple solid,319
reservoir,couple solid,319
heat exchanger,couple solid,319
signal filter,couple solid,319
unclassified,couple solid,319
cover,couple solid,319
coupler,couple solid,319
positioner,couple solid,319
link,couple solid,319
unclassified,couple solid,319
cover,couple solid,319
speaker,couple solid,319
shaft,couple solid,319
hydraulic pump,couple solid,319
wheel,couple solid,319
support,couple solid,319
tube,couple solid,319
cover,couple solid,319
securer,couple solid,319
unclassified,couple solid,319
cover,couple solid,319
stop,couple solid,319
bearing,couple solid,319
cover,couple solid,319
electric motor,couple solid,319
electric wire,distribute electrical,319
ic motor,distribute mechanical,319
ic motor,export acoustic,319
tube,export gas,319
pneumatic pump,export status,319
gear,export status,319
ic motor,export thermal,319
tube,guide chemical,319
regulator,guide chemical,319
ic motor,guide gas,319
tube,guide liquid,319
regulator,guide liquid,319
pneumatic pump,guide liquid,319
generator,guide solid,319
belt,guide solid,319
lever,guide solid,319
clutch,guide solid,319
lever,guide solid,319
