comp,func,id
airfoil,change gas,286
airfoil,convert mechanical,286
airfoil,convert pneumatic,286
airfoil,couple solid,286
airfoil,couple solid,286
cap,guide solid,286
cap,position solid,286
cap,stop gas,286
cap,stop pneumatic,286
clamp,couple solid,286
clamp,position solid,286
clamp,secure solid,286
cover,stop solid,286
crank,actuate translational,286
crank,convert pneumatic,286
fan,convert rotational,286
handle,import human energy,286
handle,import human material,286
handle,transfer human energy,286
housing,couple solid,286
housing,guide solid,286
housing,position solid,286
housing,secure solid,286
housing,transfer gas,286
housing,transfer pneumatic,286
nozzle,couple solid,286
nozzle,export gas,286
nozzle,export pneumatic,286
nozzle,guide solid,286
nozzle,import gas,286
nozzle,import pneumatic,286
nozzle,position solid,286
pneumatic piston,convert mechanical,286
pneumatic piston,convert pneumatic,286
pneumatic piston,guide solid,286
pneumatic piston,import gas,286
pressure gauge,indicate mechanical,286
pressure vessel,couple solid,286
pressure vessel,store gas,286
pressure vessel,store pneumatic,286
pressure vessel,supply gas,286
pressure vessel,supply pneumatic,286
retaining clip,secure solid,286
screw,couple solid,286
screw,couple solid,286
screw,couple solid,286
screw,guide solid,286
shaft,convert human energy,286
shaft,couple solid,286
shaft,transfer mechanical,286
shaft,transfer rotational,286
spring,position mechanical,286
spring,position solid,286
support,import solid-solid,286
support,secure solid,286
support,stabilize solid-solid,286
tube,transfer pneumatic,286
valve,guide pneumatic,286
valve,guide solid,286
abrasive,position solid,203
battery,secure solid,203
battery,store chemical,203
battery,store chemical,203
battery,supply electrical,203
buzzer,couple solid,203
buzzer,couple solid,203
buzzer,export electrical,203
buzzer,secure solid,203
cap,collect gas-gas,203
cap,guide gas-gas,203
cap,position solid,203
cap,secure solid,203
cover,couple solid,203
cover,secure solid,203
digital display,couple solid,203
digital display,export electrical,203
electric conductor,couple solid,203
electric conductor,secure solid,203
electric conductor,secure solid,203
electric conductor,transmit electrical,203
electric conductor,transmit solid,203
electric switch,actuate electrical,203
electric switch,position solid,203
electric wire,couple solid,203
electric wire,transmit electrical,203
glue,couple solid,203
housing,guide solid,203
housing,guide solid,203
housing,position solid,203
housing,secure solid,203
housing,secure solid,203
indicator light,couple solid,203
indicator light,export electrical,203
screw,couple solid,203
sensor,collect gas-gas,203
sensor,couple solid,203
sensor,position solid,203
solder,couple solid,203
solder,couple solid,203
solder,couple solid,203
solder,couple solid,203
speaker,couple solid,203
tube,collect gas-gas,203
tube,guide solid,203
tube,position solid,203
abrasive,position solid,206
abrasive,secure solid,206
abrasive,secure solid,206
abrasive,secure solid,206
assembly,contain liquid,206
assembly,convert control,206
assembly,convert electrical,206
assembly,export liquid,206
assembly,guide mechanical,206
assembly,process signal,206
assembly,secure solid,206
belt,convert rotational,206
belt,convert rotational,206
belt,guide rotational,206
belt,guide solid,206
belt,guide solid,206
belt,secure solid,206
belt,secure solid,206
circuit board,distribute electrical,206
circuit board,distribute electrical,206
circuit board,distribute signal,206
circuit board,guide control,206
circuit board,guide control,206
circuit board,guide control,206
circuit board,guide electrical,206
circuit board,guide electrical,206
circuit board,guide electrical,206
circuit board,guide electrical,206
circuit board,guide signal,206
circuit board,guide signal,206
circuit board,position solid,206
circuit board,process control,206
circuit board,process electrical,206
circuit board,process signal,206
circuit board,process signal,206
circuit board,secure solid,206
circuit board,secure solid,206
circuit board,secure solid,206
circuit board,secure solid,206
circuit board,secure solid,206
container,collect liquid,206
container,collect liquid,206
container,guide solid,206
container,secure solid,206
container,secure solid,206
container,secure solid,206
cover,guide solid,206
cover,secure solid,206
cover,transfer electromagnetic,206
electric motor,actuate acoustic,206
electric motor,convert electrical,206
electric motor,convert electrical,206
electric motor,convert electrical,206
electric motor,couple solid,206
electric motor,couple solid,206
electric motor,guide control,206
electric motor,guide solid,206
electric motor,position solid,206
electric motor,secure solid,206
electric motor,secure solid,206
electric motor,secure solid,206
electric socket,guide electrical,206
electric socket,secure solid,206
electric switch,convert mechanical,206
electric switch,couple solid,206
electric switch,guide control,206
electric switch,position solid,206
electric switch,secure solid,206
electric wire,guide control,206
electric wire,guide electrical,206
electric wire,guide electrical,206
electric wire,secure solid,206
electric wire,secure solid,206
em sensor,convert electrical,206
em sensor,convert electromagnetic,206
em sensor,export electrical,206
em sensor,export signal,206
em sensor,import electromagnetic,206
em sensor,import signal,206
em sensor,secure solid,206
em sensor,transfer signal,206
em sensor,transmit electrical,206
gear,change rotational,206
gear,convert mechanical,206
gear,couple solid,206
gear,guide rotational,206
gear,guide rotational,206
gear,guide solid,206
gear,guide solid,206
guiders,couple solid,206
guiders,guide mechanical,206
guiders,guide mechanical,206
guiders,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
guiders,position solid,206
guiders,position solid,206
guiders,secure solid,206
guiders,transfer mechanical,206
housing,couple solid,206
housing,couple solid,206
housing,couple solid,206
housing,couple solid,206
housing,couple solid,206
housing,guide mechanical,206
housing,guide solid,206
housing,guide solid,206
housing,guide solid,206
housing,guide solid,206
housing,guide solid,206
housing,guide solid,206
housing,position solid,206
housing,position solid,206
housing,position solid,206
housing,position solid,206
housing,position solid,206
housing,position solid,206
