comp,func,id
knob,actuate discrete,121
knob,actuate electrical,121
knob,actuate human energy,121
knob,actuate human material,121
gear,change rotational,121
gear,change rotational,121
reservoir,contain colloidal,121
electric motor,convert electrical,121
thermal insulator,convert electrical,121
heating element,convert electrical,121
reservoir,convert gas,121
reservoir,convert liquid,121
fan,convert liquid,121
reservoir,convert rotational,121
fan,convert rotational,121
fan,convert solid,121
reservoir,convert thermal,121
fan,convert thermal,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
circuit board,distribute discrete,121
circuit board,distribute electrical,121
reservoir,export acoustic,121
reservoir,export colloidal,121
circuit board,export discrete,121
reservoir,export gas,121
fan,export gas,121
knob,export human energy,121
cover,export human energy,121
knob,export human material,121
cover,export human material,121
reservoir,export liquid,121
reservoir,export rotational,121
reservoir,export thermal,121
reservoir,export translational,121
gear,guide solid,121
cover,guide solid,121
knob,import discrete,121
electric conductor,import electrical,121
reservoir,import gas,121
fan,import gas,121
knob,import human energy,121
cover,import human energy,121
knob,import human material,121
cover,import human material,121
cover,import solid,121
thermal insulator,inhibit thermal,121
fan,position solid,121
heating element,position solid,121
circuit board,regulate discrete,121
circuit board,regulate electrical,121
fan,rotate rotational,121
fan,rotate solid,121
gear,secure solid,121
gear,secure solid,121
reservoir,stop colloidal,121
reservoir,stop gas,121
reservoir,stop liquid,121
reservoir,stop rotational,121
reservoir,stop thermal,121
reservoir,stop translational,121
fan,store solid,121
fan,transfer rotational,121
heating element,transfer thermal,121
thermal insulator,transmit thermal,121
heating element,actuate electrical,305
seal,actuate solid-liquid-gas,305
seal,actuate status,305
heating element,change solid-liquid,305
material filter,condition solid-liquid,305
circuit board,convert human energy,305
screw,couple solid,305
screw,couple solid,305
screw,couple solid,305
housing,couple solid,305
cap,couple solid,305
screw,couple solid,305
screw,couple solid,305
screw,couple solid,305
housing,couple solid,305
screw,couple solid,305
handle,couple solid,305
screw,couple solid,305
nut-bolt,couple solid,305
bracket,couple solid,305
screw,couple solid,305
circuit board,couple solid,305
cover,couple solid,305
screw,couple solid,305
screw,couple solid,305
tube,couple solid,305
screw,couple solid,305
heating element,couple solid,305
bracket,couple solid,305
screw,couple solid,305
screw,couple solid,305
heating element,couple solid,305
screw,couple solid,305
housing,couple solid,305
container,distribute thermal,305
container,export solid,305
cover,export solid,305
cover,guide solid,305
cover,guide solid,305
seal,guide solid,305
lever,guide solid,305
lever,guide solid,305
tube,guide solid,305
cap,guide solid,305
tube,guide solid,305
cover,guide solid,305
electric cord,import electrical,305
visual indicator,import human energy,305
cover,import solid-liquid,305
unclassified,import solid-liquid,305
cover,import solid-liquid,305
container,mix solid-liquid,305
container,position solid,305
housing,position solid,305
tube,position solid,305
belt,position solid,305
container,position solid,305
handle,position solid,305
cap,position solid,305
seal,position solid,305
seal,position solid,305
spring,position solid,305
cap,position solid,305
cap,position solid,305
bracket,position solid,305
thermal plate,position solid,305
seal,position solid,305
tube,position solid,305
electric cord,position solid,305
seal,position solid,305
tube,position solid,305
tube,position solid,305
seal,position solid,305
support,secure solid,305
visual indicator,secure solid,305
cap,secure solid,305
cap,secure solid,305
electric cord,secure solid,305
cap,secure solid,305
unclassified,secure solid,305
lever,sense status,305
container,separate solid-liquid,305
container,store solid,305
housing,store solid-liquid,305
container,store solid-liquid,305
tube,store solid-liquid,305
circuit board,store status,305
heating element,supply electrical,305
electric cord,supply electrical,305
tube,transfer solid-liquid,305
tube,transfer solid-liquid,305
tube,transfer solid-liquid,305
cap,transfer solid-liquid,305
tube,transfer solid-liquid,305
lever,transfer status,305
lever,transfer status,305
heating element,transfer thermal,305
electric switch,actuate control,306
electric switch,actuate electrical,306
container,actuate solid-liquid,306
cover,actuate solid-liquid,306
seal,actuate solid-liquid,306
heating element,change solid-liquid,306
system,contain electrical,306
system,contain human energy,306
system,contain human material,306
system,contain liquid,306
system,contain thermal,306
heating element,convert electrical,306
electric switch,convert human energy,306
screw,couple solid,306
screw,couple solid,306
screw,couple solid,306
housing,couple solid,306
housing,couple solid,306
handle,couple solid,306
screw,couple solid,306
housing,couple solid,306
clamp,couple solid,306
screw,couple solid,306
guiders,couple solid,306
screw,couple solid,306
support,couple solid,306
screw,couple solid,306
unclassified,couple solid,306
cover,couple solid,306
cover,couple solid,306
container,distribute thermal,306
container,export solid,306
container,guide solid,306
thermal insulator,guide solid,306
handle,guide solid,306
cover,guide solid,306
seal,guide solid,306
tube,guide solid,306
electric cord,import electrical,306
electric switch,import human energy,306
cover,import solid,306
cover,import solid-liquid,306
container,mix solid,306
container,mix solid-liquid,306
container,position solid,306
container,position solid,306
support,position solid,306
thermal plate,position solid,306
guiders,position solid,306
cover,position solid,306
electric wire,secure solid,306
housing,secure solid,306
clamp,secure solid,306
seal,secure solid,306
tube,secure solid,306
seal,secure solid,306
seal,secure solid,306
guiders,secure solid,306
electric switch,secure solid,306
tube,secure solid,306
tube,secure solid,306
electric wire,secure solid,306
container,separate solid-liquid,306
container,separate solid-liquid,306
container,store solid,306
housing,store solid-liquid,306
container,store solid-liquid,306
tube,store solid-liquid,306
electric wire,supply electrical,306
electric wire,supply electrical,306
tube,transfer solid-liquid,306
tube,transfer solid-liquid,306
tube,transfer solid-liquid,306
thermal plate,transfer thermal,306
circuit board,actuate electrical,307
cover,actuate solid-liquid,307
valve,actuate solid-liquid,307
heating element,change solid-liquid,307
system,contain electrical,307
system,contain human energy,307
system,contain human material,307
system,contain liquid,307
cover,contain solid-liquid,307
system,contain thermal,307
heating element,convert electrical,307
circuit board,convert human energy,307
circuit board,convert status,307
screw,couple solid,307
screw,couple solid,307
belt,couple solid,307
screw,couple solid,307
screw,couple solid,307
cap,couple solid,307
screw,couple solid,307
screw,couple solid,307
reservoir,distribute thermal,307
support,distribute thermal,307
reservoir,export solid,307
housing,export solid,307
reservoir,guide solid,307
housing,guide solid,307
housing,guide solid,307
housing,guide solid,307
handle,guide solid,307
valve,guide solid,307
electric cord,import electrical,307
electric switch,import human energy,307
electric switch,import human energy,307
housing,import solid,307
reservoir,mix solid-liquid,307
cover,position solid,307
reservoir,position solid,307
belt,position solid,307
reservoir,position solid,307
handle,position solid,307
support,position solid,307
circuit board,position solid,307
valve,position solid,307
heating element,position solid,307
bracket,position solid,307
support,position solid,307
thermal insulator,position solid,307
housing,secure solid,307
housing,secure solid,307
tube,secure solid,307
reservoir,separate solid-liquid,307
reservoir,store solid,307
housing,store solid-liquid,307
reservoir,store solid-liquid,307
circuit board,store status,307
electric cord,supply electrical,307
tube,transfer solid-liquid,307
tube,transfer solid-liquid,307
heating element,transfer thermal,307
support,transfer thermal,307
actuator,actuate electrical,331
actuator,actuate mechanical,331
system,condition control,331
system,condition electrical,331
system,condition human energy,331
system,condition human material,331
system,condition liquid,331
system,condition solid,331
system,condition status,331
heating element,convert electrical,331
hinge,convert human energy,331
magnitude controller,convert mechanical,331
hinge,convert rotational,331
fastener,couple solid,331
hinge,export acoustic,331
housing,export human energy,331
handle,export human material,331
housing,export human material,331
fan,export liquid-gas,331
housing,export solid-liquid,331
screen,extract liquid-gas,331
screen,extract solid,331
assembly,guide gas,331
assembly,guide gas,331
fan,guide liquid-gas,331
