comp,func,id
knob,actuate discrete,121
knob,actuate electrical,121
knob,actuate human energy,121
knob,actuate human material,121
gear,change rotational,121
gear,change rotational,121
reservoir,contain colloidal,121
electric motor,convert electrical,121
thermal insulator,convert electrical,121
heating element,convert electrical,121
reservoir,convert gas,121
reservoir,convert liquid,121
fan,convert liquid,121
reservoir,convert rotational,121
fan,convert rotational,121
fan,convert solid,121
reservoir,convert thermal,121
fan,convert thermal,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
fastener,couple solid,121
circuit board,distribute discrete,121
circuit board,distribute electrical,121
reservoir,export acoustic,121
reservoir,export colloidal,121
circuit board,export discrete,121
reservoir,export gas,121
fan,export gas,121
knob,export human energy,121
cover,export human energy,121
knob,export human material,121
cover,export human material,121
reservoir,export liquid,121
reservoir,export rotational,121
reservoir,export thermal,121
reservoir,export translational,121
gear,guide solid,121
cover,guide solid,121
knob,import discrete,121
electric conductor,import electrical,121
reservoir,import gas,121
fan,import gas,121
knob,import human energy,121
cover,import human energy,121
knob,import human material,121
cover,import human material,121
cover,import solid,121
thermal insulator,inhibit thermal,121
fan,position solid,121
heating element,position solid,121
circuit board,regulate discrete,121
circuit board,regulate electrical,121
fan,rotate rotational,121
fan,rotate solid,121
gear,secure solid,121
gear,secure solid,121
reservoir,stop colloidal,121
reservoir,stop gas,121
reservoir,stop liquid,121
reservoir,stop rotational,121
reservoir,stop thermal,121
reservoir,stop translational,121
fan,store solid,121
fan,transfer rotational,121
heating element,transfer thermal,121
thermal insulator,transmit thermal,121
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
wheel,convert control,169
pulley,convert human energy,169
ic motor,convert liquid-gas,169
blade,couple solid,169
nut-bolt,couple solid,169
mixer,couple solid,169
clamp,couple solid,169
guiders,couple solid,169
housing,couple solid,169
ic motor,couple solid,169
output acoustic energy,couple solid,169
tube,couple solid,169
container,couple solid,169
handle,couple solid,169
hinge,couple solid,169
pulley,couple solid,169
output acoustic energy,export auditory,169
output acoustic energy,export gas,169
wheel,export human energy,169
guiders,export solid,169
guiders,export visual,169
wheel,export visual,169
material filter,extract solid-gas,169
guiders,guide solid,169
housing,guide solid,169
handle,guide solid,169
lever,guide solid,169
wheel,guide solid,169
container,import chemical,169
handle,import control,169
lever,import control,169
handle,import human energy,169
container,import liquid,169
blade,import solid,169
material filter,import solid-gas,169
mixer,mix chemical,169
mixer,mix gas,169
mixer,mix liquid,169
blade,remove solid,169
material filter,secure solid,169
mixer,secure solid,169
ic motor,secure solid,169
lever,secure solid,169
link,secure solid,169
assembly,separate chemical,169
assembly,separate chemical,169
assembly,separate chemical,169
assembly,separate human energy,169
assembly,separate human material,169
assembly,separate solid-liquid-gas,169
container,store chemical,169
container,store liquid,169
tube,transfer chemical,169
housing,transfer control,169
link,transfer control,169
housing,transfer human energy,169
blade,transfer solid,169
electric motor,actuate acoustic,206
latch release,actuate mechanical,206
gear,change rotational,206
positioner,collect liquid,206
container,collect liquid,206
container,collect liquid,206
assembly,contain liquid,206
assembly,convert control,206
indicator light,convert control,206
indicator light,convert electrical,206
em sensor,convert electrical,206
assembly,convert electrical,206
electric motor,convert electrical,206
electric motor,convert electrical,206
electric motor,convert electrical,206
em sensor,convert electromagnetic,206
electric switch,convert mechanical,206
gear,convert mechanical,206
belt,convert rotational,206
belt,convert rotational,206
electric switch,couple solid,206
housing,couple solid,206
housing,couple solid,206
guiders,couple solid,206
positioner,couple solid,206
securer,couple solid,206
positioner,couple solid,206
housing,couple solid,206
electric motor,couple solid,206
housing,couple solid,206
assembly,couple solid,206
housing,couple solid,206
gear,couple solid,206
electric motor,couple solid,206
support,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
unclassified,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
screw,couple solid,206
circuit board,distribute electrical,206
circuit board,distribute electrical,206
circuit board,distribute signal,206
em sensor,export electrical,206
assembly,export liquid,206
em sensor,export signal,206
electric switch,guide control,206
electric wire,guide control,206
circuit board,guide control,206
circuit board,guide control,206
electric motor,guide control,206
circuit board,guide control,206
circuit board,guide electrical,206
electric wire,guide electrical,206
electric wire,guide electrical,206
circuit board,guide electrical,206
electric socket,guide electrical,206
circuit board,guide electrical,206
circuit board,guide electrical,206
assembly,guide mechanical,206
guiders,guide mechanical,206
guiders,guide mechanical,206
latch release,guide mechanical,206
housing,guide mechanical,206
gear,guide rotational,206
gear,guide rotational,206
belt,guide rotational,206
circuit board,guide signal,206
signaler,guide signal,206
circuit board,guide signal,206
cover,guide solid,206
positioner,guide solid,206
housing,guide solid,206
guiders,guide solid,206
gear,guide solid,206
electric motor,guide solid,206
container,guide solid,206
guiders,guide solid,206
housing,guide solid,206
latch release,guide solid,206
guiders,guide solid,206
guiders,guide solid,206
positioner,guide solid,206
positioner,guide solid,206
guiders,guide solid,206
belt,guide solid,206
guiders,guide solid,206
housing,guide solid,206
support,guide solid,206
belt,guide solid,206
guiders,guide solid,206
housing,guide solid,206
stop,guide solid,206
gear,guide solid,206
housing,guide solid,206
support,guide solid,206
housing,guide solid,206
em sensor,import electromagnetic,206
em sensor,import signal,206
electric switch,position solid,206
positioner,position solid,206
unclassified,position solid,206
abrasive,position solid,206
housing,position solid,206
housing,position solid,206
circuit board,position solid,206
guiders,position solid,206
housing,position solid,206
latch release,position solid,206
positioner,position solid,206
positioner,position solid,206
housing,position solid,206
housing,position solid,206
assembly,position solid,206
guiders,position solid,206
housing,position solid,206
electric motor,position solid,206
housing,position solid,206
circuit board,process control,206
circuit board,process electrical,206
system,process electrical,206
system,process signal,206
assembly,process signal,206
circuit board,process signal,206
circuit board,process signal,206
system,process solid,206
electric switch,secure solid,206
circuit board,secure solid,206
assembly,secure solid,206
housing,secure solid,206
washer,secure solid,206
abrasive,secure solid,206
electric wire,secure solid,206
electric wire,secure solid,206
abrasive,secure solid,206
unclassified,secure solid,206
assembly,secure solid,206
unclassified,secure solid,206
circuit board,secure solid,206
abrasive,secure solid,206
container,secure solid,206
container,secure solid,206
housing,secure solid,206
indicator,secure solid,206
indicator light,secure solid,206
signaler,secure solid,206
circuit board,secure solid,206
electric motor,secure solid,206
container,secure solid,206
positioner,secure solid,206
housing,secure solid,206
securer,secure solid,206
positioner,secure solid,206
electric socket,secure solid,206
circuit board,secure solid,206
belt,secure solid,206
guiders,secure solid,206
housing,secure solid,206
electric motor,secure solid,206
support,secure solid,206
housing,secure solid,206
assembly,secure solid,206
belt,secure solid,206
housing,secure solid,206
circuit board,secure solid,206
electric motor,secure solid,206
em sensor,secure solid,206
housing,secure solid,206
cover,secure solid,206
housing,secure solid,206
spring,secure solid,206
signaler,signal solid,206
stop,stop electromagnetic,206
support,support solid,206
cover,transfer electromagnetic,206
guiders,transfer mechanical,206
em sensor,transfer signal,206
em sensor,transmit electrical,206
electric switch,actuate electrical,208
electric switch,actuate electrical,208
gear,change rotational,208
lever,change translational,208
electric motor,convert electrical,208
electric motor,convert electrical,208
electric switch,convert human energy,208
link,convert rotational,208
shaft,convert rotational,208
